,1,2,3,4,5,6,7,8,9,10,11,12
A,4973.4,4934.32,4786.08,5045.91,4502.47,4083.66,4360.28,4208.74,4461.56,4160.74,4386.96,4231.96
B,4875.42,4807.09,4462.42,4546.21,4509.24,4571.54,4404.14,4212.1,4288.41,4405.01,4234.34,4175.02
C,4421.82,4177.42,4188.65,4640.52,4186.42,4180.33,4237.95,3932.67,4118.4,4142.91,3923.05,3892.85
D,4243.82,4201.24,4091.2,4009.19,3930.38,4154.69,3877.24,4015.31,3837.33,3837.47,3943.87,3807.23
E,4610.08,4220.88,4409.41,4341.76,4375.23,4160.97,4165.35,4059.58,4352.07,4156.09,4100.41,3990.01
F,4098.54,3943.73,3879.58,3914.41,4037.75,4250.36,3912.4,3989.88,4180.64,3903.6,3911.49,4042.87
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
