Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_2-18-20 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8314.23,10146,8086.22,6525.9,7198.44,7421.88,6892.29,6300.77,5994.4,6263.31,6590.56,6014.31
,B,6423.79,6453.83,6067.61,4898.11,4999.4,5253.2,4790.4,4892.81,5109.96,5183.21,4915.8,4861.03
,C,6304.28,6778.42,5924.47,4917.41,4996.35,5265.81,4969.24,4980.86,4667.4,4838.16,4841.46,4855.49
,D,6235.69,6916.72,5878.22,4811.64,4800.23,5016.88,4523.97,4560.71,4634.17,4626.95,4640.8,4483.84
,E,6605.19,6795.32,5681.06,5083.68,4873.66,5246.4,4714.52,4260.11,4465.44,4813.6,4691.18,4511.22
,F,6328.84,6198.01,5258.81,4626.72,4610.07,4535.16,4411.89,4503.76,4533.73,4348.42,4300.08,4398.9
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1631410,2110670,1614760,1371910,1647660,1737810,1755810,1499360,1344610,1527040,1417380,1306900
,B,982572,1007040,981084,971732,835331,1095270,985639,993014,998794,938015,936460,799133
,C,464414,594876,569864,529778,537690,587435,525482,541106,464308,437491,422798,420224
,D,874578,1207740,929189,863184,942424,1042640,796024,869282,869835,758951,665159,676933
,E,436415,588984,433123,478315,460404,517078,433730,371084,379601,443802,409445,428832
,F,429724,443681,399285,369580,355326,302608,283525,266870,224345,193335,197571,196621
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
