Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_8-27-06 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5191.31,4039.02,4963.91,5186.07,5415.61,5028.49,5188.38,4511.14,5320.93,4481.81,4958.47,5062.51
,B,4093.35,3825.44,4190.76,4189.98,4468.25,4195.91,4091.61,4139.44,4044.93,4285.94,4310.51,4345.41
,C,4060.03,3938.44,4152.4,4183.13,4330.96,4002.54,4257.02,4080.99,4334.75,4402.07,4406.21,4349.82
,D,4061.31,3875.82,4200.23,4021.07,4354.24,4104.58,4317.43,4126.29,4444.99,4285.72,4289.29,4906.93
,E,3883.37,3718.8,4172,4292.22,4328.02,4152.77,4367.48,3985.99,4074.14,4054.82,4067.45,4191.97
,F,4041.19,3898.07,3973.42,3938.57,3918.36,4025.22,4134.46,3980.07,4500.47,3874.85,3791.97,4330.51
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2930290,1951920,2629290,2627710,2852460,2277570,1915370,1264040,1394850,749804,1047170,708123
,B,2478150,2201470,2582500,2486270,2710930,2384950,1539350,1729360,1423870,1012050,1062320,676292
,C,408277,379447,403296,347975,413693,373761,174215,166876,164815,82021.7,88835.7,84435
,D,999236,1160760,1506010,1207310,1549800,1455600,1267800,1038340,1357520,584670,642599,776510
,E,455203,424036,480675,545699,609932,499156,266945,226823,259439,114575,115917,295430
,F,251650,271408,269587,226748,234922,230249,107876,123719,185960,78789.3,78887.1,207504
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
