Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_1-13-07 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6585.75,8195.74,6292.75,5242.97,5874.44,6183.13,5726.86,5437.65,5288.67,5514.07,5522.35,5038.65
,B,5005.59,5226.54,5000.46,4697,4829.66,4955.68,4586.55,4710.77,4601.92,4633.98,4547.64,4611.02
,C,4871.11,5736.48,4779.89,4622.63,4733.79,5025.87,4712.14,4735.8,4510.54,4640.22,4556.49,4497.48
,D,4892.54,5546.05,4786.97,4524.2,4632.57,4844.13,4346.55,4424.23,4461.48,4474.68,4354.31,4319.85
,E,5435.29,5380,4608.72,4698.91,4589.59,4939.13,4442.78,4118.11,4232.95,4614.75,4421.57,4185.54
,F,5588.56,5468.2,4468.06,4366.43,4465.43,4459.57,4362.56,4454.08,4475.18,4282.19,4237.13,4324.43
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2682340,3295230,2397470,2020180,2421230,2824760,2382680,2026330,1953960,1851440,1916230,1696860
,B,2320930,2519180,2331020,2249910,2096740,2670590,2395200,2562160,2190530,2121890,1995050,1757400
,C,411793,523225,426004,433911,462138,536928,460715,452442,411702,382507,392822,390285
,D,1486180,1789350,1120200,1067540,1177970,1314710,1019590,1116770,1120060,982780,933952,823778
,E,363546,548447,393285,456350,472349,564265,434561,371260,396092,435233,417099,453129
,F,413909,395851,313710,333729,330402,308614,292238,287738,235043,202280,209327,210449
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
