,1,2,3,4,5,6,7,8,9,10,11,12
A,5298.62,5192.74,5071.07,5320.36,4754.84,4255.43,4565.5,4443.88,4643.9,4357.39,4657.43,4499.94
B,5143.79,5029.64,4701.48,4761.05,4685.68,4754.63,4602.75,4382.83,4574.2,4655.54,4417.74,4409.13
C,4740.47,4505.5,4366.82,4817.71,4324.99,4291.38,4374.88,4095.77,4242.93,4309.04,4096.1,4086.35
D,4489.74,4384.09,4295.3,4190.98,4063.99,4303.63,4089.59,4202.62,4006.13,4052.54,4137.79,3989.48
E,4934.64,4403.61,4632.05,4538.98,4528.73,4318.9,4351.44,4207.56,4535.48,4327.85,4284.38,4154.69
F,4284.43,4065.07,3991.82,4003.71,4113.29,4408.42,4026.1,4061.47,4293.93,3972.46,4039.77,4129.42
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
