Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_4-21-41 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8398.48,10143.6,8099.8,6534.49,7188.05,7440.2,6876.35,6289.48,6029.67,6249.13,6575.45,5977.91
,B,6445.35,6504.77,6100.49,4928.53,5024.05,5256.29,4783.76,4899.78,5072.14,5155.85,4923.94,4852.35
,C,6323.11,6862.09,5972.45,4965.67,5002.01,5285.73,4976.93,4969.3,4704.61,4842.24,4838.28,4881.87
,D,6251.14,6971.46,5928.59,4822.79,4799.97,5043.77,4508.85,4573.37,4574.61,4595.82,4653.45,4476.59
,E,6645.28,6848.68,5752.58,5113.45,4910.61,5284.71,4729.66,4276.03,4499.27,4820.33,4692.96,4496.24
,F,6343.27,6200.19,5301.5,4651.3,4628.78,4547.22,4417.51,4509.12,4539.7,4350.49,4300.74,4392.44
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1381120,1983570,1428040,1274810,1553000,1721500,1621480,1384370,1260610,1399580,1373730,1202180
,B,764920,827245,800462,916345,797777,1041250,944198,938974,912140,823350,860351,704654
,C,384847,562183,506845,559346,547594,626046,553255,532491,472802,442984,435509,433834
,D,744442,1092330,856938,831804,930860,962881,796423,892966,865742,761924,733319,661292
,E,371608,534319,394985,465498,465399,530442,442454,393984,382374,459290,397015,419962
,F,345867,360332,322766,338799,333726,298005,280919,272699,226462,194877,196501,198010
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
