,1,2,3,4,5,6,7,8,9,10,11,12
A,1553340,2132310,1619290,1422870,1670740,1763170,1703630,1437960,1301350,1488010,1451610,1268730
B,986952,963878,927537,910819,802722,1028070,909364,901177,958553,877157,877642,735441
C,529113,628799,618117,525668,548630,610981,524211,530274,468025,444558,437847,430572
D,948819,1257690,1013080,846145,940493,1023410,795150,907401,868543,765902,743449,668356
E,503272,670767,507810,497772,465892,532034,426359,374231,376025,444259,417606,417010
F,558851,570913,453229,381326,364667,299926,279525,272954,225654,193663,198352,200833
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
