Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_7-44-02 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8489.6,10218.8,8175.53,6586.6,7213.48,7431.29,6886.13,6310.39,6096.83,6278.53,6605.18,6055.72
,B,6530.54,6599.6,6166.58,4964.92,5041.34,5279.42,4811.71,4941.64,5102.06,5261.96,4964.3,4884.85
,C,6392.11,6954.64,6043.32,4958.48,5042.45,5319.09,5070.26,4982.78,4777.69,4870.66,4882.05,4912.71
,D,6302.04,7039.37,5983.06,4860.01,4852.35,5049.71,4584.42,4589.62,4594.68,4608.7,4681.03,4489.42
,E,6700.72,6916.79,5825,5138.34,4939.93,5314.52,4759.32,4301.1,4600.87,4845.17,4710.73,4523.27
,F,6371.23,6214.75,5340.99,4661.84,4638.55,4554.58,4425.81,4519.2,4548.26,4363.42,4310.11,4398.58
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1302680,1795910,1313520,1225330,1422800,1629310,1551650,1346760,1228420,1394930,1358620,1200390
,B,747179,830337,734790,850816,724407,949667,822234,862660,844382,850288,788533,676355
,C,405529,578758,530272,546471,562454,621165,539727,543180,478514,446344,448468,447247
,D,727681,1038700,801292,819101,908394,972738,745772,856792,842850,725050,729669,640074
,E,398088,544394,419023,487073,464631,516785,440692,399608,385959,443507,417401,418425
,F,362776,368657,358505,339754,330915,298307,283540,270239,228804,189872,192986,191569
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
