,1,2,3,4,5,6,7,8,9,10,11,12
A,6026.55,6098.33,6061.89,5748.56,5200.06,5824.05,5704.69,5778.46,6180.33,16484.3,15714.4,17833.9
B,5360.3,5794.4,4731.15,4864.76,4802.76,4869.83,5164.44,4989.21,5163.8,13517.5,13184.5,12475.6
C,5811.69,5212.24,5066.97,5265.51,5006.16,4978.44,5566.77,5358.38,5675.67,18524.6,24160.6,22845.5
D,4948.39,4572.66,4752.58,4678.16,4536.93,4708.2,4754.14,4816.89,4988.65,12017.2,12133.1,12835
E,4661.64,4597.34,4383.58,4527.85,4381.49,4379.74,4559.86,4648.52,4874.46,8976.01,9070.56,10037.8
F,4355.72,4172.12,4218.53,4292.77,4280.46,4725.34,4477.03,4755.07,4506.67,5356.83,5388.62,5444.63
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
