,1,2,3,4,5,6,7,8,9,10,11,12
A,4842.1,4589.66,4827.68,4982.44,4571.51,5093.56,5207.39,5263.82,5413.34,7038.21,6889.8,7204.86
B,4505.87,4459.62,4155.15,4264.52,4283.9,4324.52,5326.14,5165.6,5216.6,6829.19,6869.23,6606.67
C,4582.97,4617.99,4448.18,4614.17,4437.34,4338.86,4769.75,4715.83,4823.85,6825.8,7075.43,7452.78
D,4066.62,4172.54,4306.57,4236.68,4124.05,4318.87,4686.3,4680.79,4833.87,6213.92,5993.52,6183.77
E,4124.43,4137.45,4053.48,4196.67,4026.04,3993.34,4283.38,4368.18,4652.49,5974.65,5990.33,6084
F,4118.07,4005.51,4032.73,4112.56,4093.38,4443.47,4331.41,4528.2,4344.41,5592.98,5632.32,5621.38
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
