Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_5-38-39 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7823.99,6310.72,7465.45,7339.24,7665.59,6918.29,7594.34,6200.52,7153.81,6246.26,6939.64,6912.22
,B,6413.58,5774.3,6384.06,6110.52,6353.75,6001.59,5885.06,5648.07,5710.96,5856.6,5983.2,5805.27
,C,6626.53,5837.67,6306.21,6187.49,6160.44,6134.8,5923.43,5661.18,6059.57,6090.55,6141.87,5956.88
,D,6340.79,6078.06,6284.58,6290.62,6348.24,5754.23,6177.32,5915.33,6111.64,5996.44,6001.97,6575.43
,E,6423.13,5970.95,6277.55,6536.38,6410.6,5703.17,6100.52,5679.6,6379.64,5659.35,5740.83,6207.03
,F,5904.62,5970.04,5668.53,5557.58,5535.34,5169.47,5126.54,5234.63,5804.86,5097.63,5137.95,5125.54
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1326620,1073940,1355280,1469340,1470590,1282010,1193300,1086140,1008010,849561,931391,847501
,B,950182,790049,882974,713914,809173,793786,590624,595573,548989,403894,400480,351410
,C,564312,409013,536529,468059,438280,508939,251350,251697,252845,126751,180862,136260
,D,811585,803415,882679,800394,685685,676909,661135,582233,677814,385316,438342,535583
,E,573073,459551,517601,555191,562191,469613,319963,269832,296380,170476,174971,383307
,F,315943,468682,325349,248318,295435,188631,79519.2,95378.7,128267,60204.3,64238.8,185657
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
