Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_12-57-02 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5896.77,6103.54,5822.76,5610.45,5127.79,5745.2,5604.86,5645.73,6000.58,15563.5,14905.9,16965.2
,B,5197.53,5584,4660.6,4750.24,4733.72,4821.31,5080.18,4889.19,5044.46,12873.5,12554.2,11681
,C,5710.81,5118.45,4988.1,5162.53,4910.62,4877.62,5376.81,5211,5466.58,17726.1,23892.8,22066.9
,D,4889.93,4493.79,4667.87,4621.21,4461.37,4649.85,4694.67,4738.23,4921.31,11902.7,12080.1,13228
,E,4565.21,4508.19,4320.03,4497.87,4331.6,4304.75,4487.35,4553.95,4796.76,8846.1,9073.84,10599.1
,F,4289.91,4118.37,4166.28,4238.2,4228.61,4645.66,4414.47,4685.17,4438.7,5248.35,5284.28,5336.89
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1906820,1302180,2007070,2040610,1856940,2085720,2304190,2190710,2360330,4008860,3709980,3630490
,B,1853340,1856380,1677590,1683090,1746950,1803310,1787130,1762120,1746290,3553210,3333690,2942600
,C,549984,589573,631704,580271,598619,677048,664953,734612,669163,1833430,2338230,2144230
,D,803546,947104,1154670,1149140,1122710,1170800,1253140,1108770,1160560,2019600,2112070,2070680
,E,374514,426286,424106,463511,451050,409257,471341,426618,449621,1364390,1373010,1309310
,F,181736,182053,182132,175302,175348,190548,151957,126980,137233,313791,324188,317135
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
