,1,2,3,4,5,6,7,8,9,10,11,12
A,2901520,1448760,2726410,2614150,2902770,2217030,1532320,865083,972120,330605,530530,339371
B,3556410,2848860,4167710,4055590,4400300,4170800,2395450,2102010,1923690,965295,1160810,581978
C,249475,226034,228195,193416,264945,221912,87233.4,80194.7,78958.7,41056.8,44411.4,45158.8
D,721913,1008990,1343940,1068550,1690670,1494050,1003340,872261,1067290,384692,386077,419938
E,290323,277590,306411,320084,368027,267652,137262,107389,117181,61689.5,62616.3,156298
F,298762,329263,342971,263026,284426,280276,119562,138746,266583,84737.6,88593.5,305624
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
