Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_5-10-55 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7803.08,6222.32,7451.61,7346.51,7655.21,6918.39,7523.32,6419.97,7114.43,6416.16,6934.95,6975.12
,B,6325.64,5758.06,6311.89,6106.26,6337.95,5981.06,5878.8,5623.24,5687.22,5832.69,5962.63,5814.33
,C,6510.58,5806.44,6275.51,6163.31,6132.62,6082.38,5901.69,5632.14,6022.25,6063.9,6143.23,5939.66
,D,6284.16,6074.86,6270.37,6198.52,6339.9,5731.43,6154.48,5883.36,6092.3,6075.84,5976.04,6545.62
,E,6302.6,5945.74,6274.15,6517.8,6384.44,5671.86,6045.03,5696.24,6352.15,5615.76,5722.2,5532.35
,F,5904.29,5869.07,5672.83,5546.93,5494.08,5124.68,5095.32,5227.13,5801.65,5084.6,5133.37,5119.9
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1212720,894706,1279520,1493560,1541390,1345660,1133710,1019190,1093460,867157,961170,831780
,B,801308,708042,790176,735275,809144,808911,616337,590823,570694,416046,412616,343470
,C,422575,392616,440708,405662,427572,453453,246695,251142,243562,124945,154157,134207
,D,648334,680468,766113,651238,720796,658171,658464,560133,641623,363984,423078,534948
,E,423955,344113,419219,511322,530412,466398,312921,267161,301357,167231,173780,384416
,F,204755,278954,242891,195666,221954,185637,82032.8,95165.7,119659,60738.6,64734,183616
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
