Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-28-2019_10-14-07 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4722.2,3663.36,4485.64,4735.04,4863.1,4533.37,4640.72,4199.62,4829.55,3969.39,4451.94,4391.82
,B,3816.56,3579.22,3900.28,3907.95,4133.95,3950.26,3844.56,3891.38,3762.26,3941.23,3956.7,3958.36
,C,3838.38,3733.93,3858.93,3961.61,4099.68,3801.98,4036.59,3817.63,4096.3,4088.77,4042.32,4007.87
,D,3857.88,3631.77,3971.15,3798.79,4117.18,3861.53,4110.53,3880.45,4183.89,4012.04,4072.27,4559.73
,E,3687.68,3575.43,3999.55,4082.57,4143.82,4002.96,4164.14,3832.67,3865.85,3877.3,3993.17,4008.6
,F,3996.25,3853.72,3937.29,3898.84,3901.07,3965.48,4056,3925.8,4307.1,3856.86,3791.64,4437.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4021130,2189360,3928270,3509750,3799410,2956060,2044400,1260110,1517060,572971,849386,567645
,B,4420760,3490560,4725570,4296520,5083940,4442610,2378100,2286500,2087290,1193810,1291440,778305
,C,420308,378513,387062,324698,436445,369253,149019,135970,131914,63716.4,72940.3,73215.4
,D,1119140,1408410,1846600,1647770,2367390,1937150,1423390,1261920,1623950,564421,637024,724830
,E,464116,452744,487295,508449,601513,432453,220487,172271,188661,94855.7,98233.7,230203
,F,422480,461618,463075,372668,410301,404029,173784,200232,327375,122500,126108,382297
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
