,1,2,3,4,5,6,7,8,9,10,11,12
A,2269720,1259970,2289200,2292230,2084310,2308320,2485850,2343910,2530060,4194040,4049250,3977130
B,2564950,2550400,2283140,2219110,2411360,2446140,2409500,2302730,2298100,4723080,4413900,3920310
C,550889,543414,587470,548712,544527,649883,601645,649550,599684,2097800,2569980,2515160
D,853316,974059,1127820,1146540,1146470,1218210,1081370,1148330,1184820,2515210,2409780,2480770
E,380431,410152,402602,447633,450952,407051,450756,424976,429832,1557850,1516240,1582150
F,141854,151563,150132,147630,147990,155838,120916,98721.6,113769,350730,362564,356136
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
