Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_7-08-26 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7517.36,5924.79,7113.72,7010.33,7347.44,6582.83,7223.38,5922.66,6885.81,5999.19,6742.01,6722.79
,B,6019.73,5474.06,6003.5,5827.7,6099.8,5760.65,5664.83,5490.31,5521.19,5671.08,5761.09,5623.75
,C,6211.94,5597.89,5985.08,5897.2,5887.65,5841.2,5724.09,5486.72,5845.92,5900.71,5876.19,5737.27
,D,5949.7,5795.94,6004.98,5910.15,6094.18,5534.98,5939.53,5754.75,5954.1,5795.82,5835.43,6344.64
,E,6033.34,5629.46,5998.88,6205.96,6162.38,5490.92,5938.94,5531.76,6120.05,5470.17,5529.27,5895.87
,F,5719.66,5666.55,5477.83,5369.99,5334.57,5108.57,5075.59,5162.79,5673.26,5011.52,5014.57,5121.86
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1676850,1141850,1561790,1768550,1880510,1572890,1446440,1133560,1232940,962554,1038390,848833
,B,1110980,1005960,1106400,1056200,1229640,1223480,867661,848635,778875,544486,543790,441039
,C,397191,352780,421539,380642,400980,435019,219057,230118,231555,110138,135932,117021
,D,699161,760515,950284,761152,880573,922302,831894,742162,895377,454821,502807,619748
,E,410679,320285,412943,508012,544661,475618,329093,262402,289510,158905,158374,396060
,F,193601,234809,212156,199316,224827,205022,85912.8,116100,113272,66337.7,66830,186042
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
