,1,2,3,4,5,6,7,8,9,10,11,12
A,5575.42,4304.64,5313.4,5459.39,5704.5,5287.7,5516.93,4875.46,5546.96,4645.65,5153.44,5437
B,4412.75,4027.33,4399.14,4403.59,4688.36,4472.21,4335.14,4408.86,4237.64,4557.46,4590.21,4487.83
C,4437.63,4106.55,4351.76,4397.6,4550.59,4274.37,4535.39,4348.33,4621.29,4662.93,4567.52,4541.79
D,4359.57,4130.98,4394.45,4232.86,4653.66,4360.54,4652.32,4386.43,4752.44,4546.53,4640.33,5158.06
E,4243.67,3881.97,4408.54,4548.3,4609.02,4372.6,4631.68,4205.33,4325.16,4328.98,4369.27,4795.27
F,4364.5,4208.24,4195.4,4161.34,4144.67,4222.07,4301.07,4196.65,4710.7,4103.04,4045.5,4667.48
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
