,1,2,3,4,5,6,7,8,9,10,11,12
A,2997420,1956300,2617300,2474270,2817070,2276970,1984000,1257990,1471710,791015,1107720,789234
B,2824840,2253220,2698770,2444980,2712880,2526720,1644250,1674480,1497680,1101180,1169530,772785
C,539408,393486,410985,344294,429964,382474,180912,172267,166880,85254.1,97085.3,91206.3
D,1172160,1180560,1540130,1216120,1612190,1557290,1313340,1166920,1403930,614089,682778,830981
E,584638,417547,475858,545464,591696,511426,276641,235908,262072,118852,120988,305298
F,331782,437289,261511,214195,228973,222450,104764,123487,178986,76568.9,75526.8,204304
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
