,1,2,3,4,5,6,7,8,9,10,11,12
A,3018220,3357330,2513620,2250340,2461320,2851820,2506410,2164890,2112970,1992410,1989560,1903160
B,2417590,2545380,2423020,2187630,2182910,3082150,2297150,2447930,2223170,2125360,2028920,1789100
C,446506,524178,410834,440091,476788,529562,454873,455902,410252,369808,392836,394537
D,1393850,1796320,1142530,1046630,1168700,1347100,1035980,1118240,1130090,995385,925895,832127
E,366774,543954,392473,453405,478066,561534,426174,369583,398358,436233,416494,446209
F,422106,398828,304411,333787,325480,308128,286764,279951,230649,207129,208880,205870
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
