Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_9-16-20 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7475.38,5911.91,7036.05,6951.66,7288.24,6542.18,7190.23,5886.98,6883.57,5991.03,6667.06,6679.1
,B,6022.1,5456.58,5927.07,5799.65,6004.31,5711.82,5644.32,5403.77,5525.79,5602.82,5735.63,5611.32
,C,6216.27,5555.3,5894.35,5780.98,5830.75,5806.82,5676.09,5359.27,5771.78,5876.91,5874.73,5690.61
,D,5983.79,5801.87,5948.74,5887.39,6034.11,5494.17,5872.31,5687.55,5890.58,5791.76,5740.67,6281.26
,E,6043.6,5635.33,5965,6140.26,5918.02,5384.63,5732.15,5420.71,6210.94,5363.49,5511.86,5255.67
,F,5753,5665.74,5457.18,5332.37,5223.77,4894.12,4906.48,5119.14,5646.25,4918.56,5019.44,5082.56
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1503580,1100530,1389300,1507530,1965980,1459210,1143330,997025,994779,717991,781913,647052
,B,940052,871146,1030860,981570,1188500,1084570,696396,787846,626872,419638,403723,414434
,C,535647,368486,445424,401287,425935,459418,245934,223398,217164,102421,138764,110175
,D,750922,766247,916884,838216,885606,871576,718000,649505,782904,364262,409347,532315
,E,560960,389302,460079,526895,564748,478711,314603,263721,291331,150548,155896,368981
,F,227205,377987,271727,224395,267956,197329,77618,108153,125438,64797.4,69714,183388
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
