Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto38.0h_RealTime-Glo_4-18-2019_5-36-03 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5933.54,5735.92,5771.31,6006.57,5353.31,4819.84,5252.45,5059.65,5089.55,4897.23,5177.22,5036.41
,B,5641.58,5711.6,5362.89,5434.95,5329,5348.96,5224.4,5005.3,5198.32,5232.99,5004.47,4960.81
,C,5333.29,4979.42,4952.52,5462.69,4901.28,4919.59,4965.72,4687.65,4861.49,4979.58,4728.48,4645.62
,D,5003.13,5017.14,4932.46,4805.57,4644.65,4907.15,4885.86,4815.23,4578.08,4603.57,4722.1,4591.57
,E,5582.61,5015.51,5315.63,5176.5,5176.25,4970.56,4964.49,4828.7,5149.56,4991.95,5032.5,4819.28
,F,4874.31,4688.68,4569.92,4573.92,4713.88,4990.05,4623.45,4650.25,4937.16,4590.68,4689.55,4772.36
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1035540,1170660,1097250,1096110,912356,813966,706802,533197,619634,446328,529154,476246
,B,1707320,1603880,1547440,1430270,1446480,1295210,1118350,1029860,1102880,1020410,954348,955166
,C,416023,391709,384282,413422,371470,359317,234258,220019,258297,163610,159539,153855
,D,952265,1083470,959621,844065,792035,877795,587133,645537,547477,499758,470111,446358
,E,543827,548271,534080,498682,562866,494755,327449,299793,323328,251252,236422,225908
,F,243954,217328,230994,210776,201276,208054,121797,108392,141893,89154.6,92713.3,85998.6
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
