,1,2,3,4,5,6,7,8,9,10,11,12
A,5206.04,5108.4,5004.39,5258.01,4703.62,4217.99,4503.28,4364.04,4563.63,4326.29,4539.94,4349.38
B,5072.55,4975.62,4616,4702.83,4632.84,4702.89,4551.26,4330.31,4494.54,4584.05,4329.08,4329.45
C,4662.25,4457.56,4320.99,4763.36,4283.75,4288.31,4342.73,4039.08,4186.74,4233.95,4015.41,4006.39
D,4414.82,4332.95,4241.21,4142.9,4022.63,4249.2,4003.61,4133.43,3946.59,3984.23,4074.78,3912.99
E,4861.54,4289.8,4557.06,4486.44,4488.65,4263.05,4297.94,4151.74,4470.96,4262.08,4190.19,4093.52
F,4219.38,4028.66,3953.99,3974.48,4080.7,4352.52,3980.22,4025.85,4246.63,3933.17,3989.33,4079.91
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
