Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto16.5h_RealTime-Glo_4-17-2019_8-39-56 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5203.04,5144.09,5041.08,5293.17,4761.37,4297.64,4623.07,4484.09,4640.53,4377.47,4606.33,4450.77
,B,5057.33,5000.37,4643.76,4727.26,4694.28,4783.31,4639.58,4421.9,4553.08,4651.73,4436.2,4368.25
,C,4620.6,4456.19,4337.38,4792.13,4326.22,4338.18,4418.43,4094.4,4267.51,4312.4,4098.19,4075.63
,D,4394.68,4340.03,4252.62,4169.7,4052.14,4298.95,4090.79,4194.05,4001.76,4025.74,4138.07,3989.56
,E,4850.2,4327.03,4560.92,4503.88,4523.81,4296.05,4342.51,4212.4,4524.43,4332.75,4246.68,4140.5
,F,4244.83,4045.86,3970.02,3997.26,4120.02,4432.82,4022.95,4084.11,4289.93,3998.09,4047.43,4151.53
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1218330,1437610,1313110,1273900,1024310,851378,808546,599635,736337,536752,632738,590661
,B,2582280,2835040,2512480,2143800,2177490,2032940,1820580,1548200,1590590,1576550,1436600,1391760
,C,406790,376354,363146,379861,342976,322369,229676,215244,258273,159983,147970,146792
,D,1028560,1150460,985415,843991,765641,954613,623209,593405,519011,477297,433613,399509
,E,589817,600451,575272,503438,596848,540140,355949,328463,370933,277651,269433,246897
,F,198111,186598,168723,151097,149830,145863,91323.4,79042.4,99362,64960.5,78009.1,66607.5
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
