Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_6-41-15 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7903.74,6306.59,7505.64,7388.2,7672.89,6927.78,7581.15,6167.33,7177.23,6229.89,6967.54,6921.86
,B,6385.31,5813.72,6397.13,6145.79,6361.17,6000.88,5903.24,5667.91,5726.16,5861.79,5982.48,5788.52
,C,6602.82,5880.54,6344.13,6233.37,6218.98,6165.68,5914.42,5675.92,6088.07,6091.23,6168.26,5988.4
,D,6327.39,6125.65,6327.8,6298.96,6369.14,5747.08,6183.88,5913.6,6108.56,6470.06,6004.84,6591.25
,E,6371.65,5987.8,6328.3,6575.45,6442.99,5703.6,6100.06,5766.03,6469.99,5657.85,5741.43,6030.58
,F,5955.34,5937.25,5715.94,5583.27,5543.69,5168.12,5117.19,5230.41,5829.3,5090,5141.5,5125.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1313570,947876,1278930,1464090,1583090,1354820,1150540,930218,1019290,790532,866799,755717
,B,786775,713313,783115,774915,875752,835881,606216,549462,511686,368389,368038,330552
,C,482118,407132,493188,448662,433852,504837,251342,265677,257006,130232,171788,136499
,D,680807,735350,840339,707340,768533,661369,705104,576309,672830,376680,441124,513768
,E,469165,407767,474228,552701,544487,468942,310724,264439,294929,173060,177532,387861
,F,263888,354031,286204,218959,277642,182377,81079.9,87095.2,127682,59125.8,63548.3,184488
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
