Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_1-11-36 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7463.19,5844.46,7037.9,6948.84,7304.79,6520.69,7158.07,5858.93,6876.36,6258.62,6675.13,6645.65
,B,5970.37,5420.89,5897.99,5799.03,6026.52,5699.43,5571.68,5408.73,5478.04,5602.18,5715.38,5554.77
,C,6085.22,5541.1,5902.42,5783.47,5840.04,5695.07,5672.84,5381.61,5747.14,5864.38,5849.21,5651.22
,D,5947.34,5764.01,5953.27,5786.22,6042.45,5492.66,5851.04,5654.31,5874.85,5746.66,5717.3,6250.85
,E,5889.57,5552.72,5941.13,6095.01,6004.02,5385.32,5750.74,6111.74,5489.76,5387.17,5489.4,5834.95
,F,5726.01,5602.23,5459.75,5318.49,5217.67,4970.59,4971.14,5114.85,5613.87,4936.94,4985.73,5091.54
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2123800,1395550,1999760,2063650,2203300,1689240,1653340,1234930,1331390,913735,1097630,817165
,B,1396300,1347900,1403650,1406610,1585880,1460480,1049760,1031710,1067980,664334,675701,530785
,C,422240,433535,461132,403382,422668,422421,220122,220659,224693,109245,132248,111028
,D,810513,1004290,1158680,901142,1142950,1047710,944703,835606,1014150,521497,593635,706711
,E,436432,373371,469188,530893,548064,499920,335261,257401,282558,147518,149114,351755
,F,282284,287808,294344,223034,239235,224937,98916.5,117125,159818,73042.1,73125.7,184091
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
