Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_6-04-55 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5187.94,4877.28,5221.64,5294.01,4795.49,5288.34,5270.43,5353.35,5544.43,12902.9,12525.1,13886.9
,B,4780.58,4706.22,4311.96,4455.71,4455.46,4464.29,5000.12,4805.32,4933.48,11744.4,11308.8,10499.6
,C,4857.6,4786.25,4622.95,4785.91,4568.41,4484.93,4919.72,4781.38,4955.64,16231.8,21448.4,19932.6
,D,4244.06,4291.92,4432.93,4349.06,4240.47,4432.34,4630.7,4634.62,4751.31,10877.9,10791.1,11480
,E,4284.57,4233.92,4108.57,4262.89,4089.9,4032.62,4313.08,4385.2,4633.35,8276.84,8153.94,8626.33
,F,4161.09,4019.9,4041.44,4110.07,4090.66,4466.53,4348.91,4654.44,4337.7,4981.86,5062.64,5068.82
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2774710,1508480,2694800,2956200,2593110,2909460,2907730,2724540,3017340,4829830,4703570,4461310
,B,3965920,3643570,3097100,3092110,3356900,3323260,3346200,3115860,3113010,7097690,7075430,6289130
,C,570142,585042,607500,560891,619208,653881,526731,628719,559258,2579470,2798300,2835030
,D,919795,1072080,1325060,1369320,1290960,1350840,1169420,1241350,1328210,2884140,2896270,2877010
,E,402833,465728,463593,477308,521211,465078,446434,402925,432803,1981320,1940850,1802190
,F,127590,138131,135203,132890,132651,136496,75839.2,37743.5,79541.4,438162,419612,417219
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
