Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_8-44-17 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8469.24,10254.9,8193.9,6558.07,7228.94,7421.38,6844.78,6300.16,6089.67,6288.52,6610.63,6057.24
,B,6578.13,6615.48,6194.62,4944.06,5038.87,5276.25,4804.71,4931.77,5089.18,5188.14,4955.4,4860.02
,C,6445.97,6969.06,6077.48,5004.85,5040.67,5321.21,5038.15,4988.04,4745.1,4872.43,4889.74,4898.12
,D,6394.54,7096.64,6035.61,4867.95,4850.03,5052.33,4550.34,4595.04,4684.83,4615.27,4664.62,4473.96
,E,6779.01,6992.72,5862.14,5159.4,5014.64,5337.18,4768.03,4312.95,4569.98,4849.6,4708.84,4520.88
,F,6453.13,6309.47,5382.74,4670.89,4646.72,4558.63,4430.61,4521.86,4544.66,4360.47,4305.01,4389.59
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1291820,1708030,1296120,1210610,1418810,1587510,1565590,1351790,1209230,1355020,1326280,1126110
,B,757263,817189,743504,814466,710871,900732,791593,803290,728842,825320,756309,624181
,C,456390,605535,558721,550590,558775,607022,541496,541399,481770,483985,461092,439320
,D,791033,1034380,849241,825249,894919,954679,750100,865346,813367,711522,718346,653162
,E,476907,615192,483530,495445,467371,520985,466193,376488,376765,442567,412592,425711
,F,531188,522812,459511,374577,362546,302613,282794,274545,228205,192060,193731,191328
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
