,1,2,3,4,5,6,7,8,9,10,11,12
A,2835750,2454370,2838560,2594210,2671310,2225020,2015140,1345870,1533350,885761,1138740,841995
B,3006630,2444960,3209580,2232810,2546510,2549800,1843530,1642300,1642070,1053100,1134190,751876
C,821447,454481,651813,541634,450847,635391,232306,242396,253679,120438,133675,128856
D,1440070,1437420,1872200,1732980,1701380,1571750,1335880,1170210,1324040,649754,716953,840110
E,800592,593400,643318,673168,704285,520725,336386,271886,298036,148708,151970,352331
F,379127,620251,355341,408529,447907,280106,136236,167973,237102,99123.6,97491.4,191695
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
