,1,2,3,4,5,6,7,8,9,10,11,12
A,1757740,1141020,1642930,1747240,1917710,1590720,1423800,1094310,1207700,864024,1020390,820788
B,1122960,1053990,1147450,1080620,1284200,1248300,862057,886622,819261,556729,554135,454405
C,375806,352748,395861,342881,400661,430579,212362,215622,217047,103034,129292,110257
D,666156,798093,916152,764231,863211,907559,814379,647453,929030,463129,541804,630977
E,387493,306381,402629,486870,522126,478609,307112,254387,289588,150918,153161,354638
F,194175,217733,210664,173215,205009,184626,84917.2,97905.4,103930,62258.1,62783.4,182204
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
