Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_11-16-12 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6433.39,7997.32,6176.52,5164.66,5672.16,6104.5,5694.26,5319.13,5066.01,5481.86,5664.01,4962.32
,B,4825.18,5085.12,4847.45,4660.18,4740.03,4938.71,4588.66,4723.03,4587.59,4596.23,4514.08,4516.08
,C,4690.96,5616.72,4712.09,4532,4644.86,4960.96,4654.64,4686.71,4470.55,4640.36,4460.43,4402.9
,D,4724.81,5414.14,4649.17,4400.16,4554.83,4778.26,4287.88,4441.56,4419.08,4403.14,4277.21,4301.2
,E,5358.33,5255.02,4548.63,4611.35,4481.62,4869.77,4415.18,4070.57,4191.85,4490.46,4361.29,4117.58
,F,5430.93,5346.1,4423.84,4332.38,4440.14,4438.22,4342.86,4435.63,4464.17,4274.74,4230,4317.48
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3016640,3364430,2474250,2084100,2532790,2885370,2470850,2304810,2077780,1997170,2053420,1824260
,B,2340910,2716760,2468010,2459320,2341280,2952710,2718130,2760840,2373350,2373440,2170620,2005880
,C,333057,518661,410203,430853,479627,536319,457809,464513,413787,383625,393814,388813
,D,1277650,1910700,1163470,1072980,1234320,1400820,1066730,1113280,1161720,1039800,970788,835822
,E,336947,538225,400535,467422,489795,573606,444739,385741,409894,444446,427043,462737
,F,302802,322229,336547,343639,344073,322980,300489,290726,241405,213224,217743,218320
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
