Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-28-2019_9-18-05 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4466.64,4199.98,4575.66,4494.17,4217.49,4624.79,4638.89,4594.46,4737.79,5639.68,5489.25,5678.43
,B,4184.7,4177.41,3945.24,4022.07,4019.98,4039.04,4525.34,4386.92,4429.05,5386.24,5411.91,5400.25
,C,4228.84,4293.76,4140.1,4291.05,4107.41,4025.18,4249.86,4169.52,4238.89,5270.97,5627.54,5704.5
,D,3865.12,3965.86,4040.84,3977.67,3893.41,4056.55,4178.25,4169.29,4266.92,5278.36,5111.11,5235.69
,E,3848.44,4017.43,3838.98,3975.78,3833.46,3795.75,3932.11,3993.3,4214.04,5022.32,5003.7,5111.42
,F,3988.47,3868.68,3901.94,3987.36,3958.99,4153.71,4079.09,4243,4078.15,4970.82,5006.7,5036.19
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3198220,1479830,2914530,2862850,2719430,3190720,1053100,1149450,1240910,1688980,1480480,1466100
,B,5447010,5101670,4372640,4669800,4592660,5379820,3150880,2735740,2559940,3840390,3718990,3533260
,C,482917,475130,482037,346826,397408,441810,23246.5,29673.8,23679.6,80707.8,103158,106159
,D,717520,952988,1172620,1285800,1125330,1210400,370102,439901,580884,607235,468679,551196
,E,314916,443404,399782,311103,351834,348004,9450.55,8573.75,11393.6,61472.1,57273.8,56087
,F,77473.9,81849.3,80745.1,67800.6,66494.7,82709.4,651.022,642.021,773.031,13983,12044.4,13292
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
