,1,2,3,4,5,6,7,8,9,10,11,12
A,5006.36,4977.61,4830.81,5101.5,4637.32,4239.33,4533.54,4370.35,4532.31,4234.72,4451.92,4273.73
B,4904.84,4845.13,4505.89,4601.8,4587.72,4671.18,4522.58,4319.92,4406.68,4510.93,4293.21,4208.93
C,4444.28,4313.93,4227.13,4706.37,4243.79,4251.41,4324.14,4016.41,4199.31,4218,3996.78,3959.45
D,4265.37,4232.66,4142.89,4059.55,3981.67,4217.79,3993.53,4105.13,3915.22,3929.7,4028.42,3887.53
E,4672.26,4249.14,4457.11,4402.58,4438.75,4221.65,4236.22,4138.97,4444.09,4237.34,4169.71,4061.88
F,4143.9,3965.3,3906.37,3942.32,4067.24,4378.97,3966,4036.11,4241.61,3952.59,3977.07,4110.39
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
