,1,2,3,4,5,6,7,8,9,10,11,12
A,6474.08,8005.65,6157.15,5132.51,5785.5,6023.68,5668.39,5337.04,5116.64,5344.92,5420.86,4947.65
B,4877.11,5112,4868.46,4630.7,4743.45,4897.86,4547.11,4659.62,4533.84,4529.02,4500.15,4509.28
C,4751.03,5623.43,4694.97,4522.49,4648.92,4952.08,4680.92,4700.87,4460.85,4584.67,4519.15,4497.93
D,4766.06,5423.15,4668.99,4496.49,4577.61,4754.93,4260.33,4383.03,4381.09,4404.31,4354.99,4267.38
E,5394.01,5260.49,4539.14,4635.22,4514.69,4870.19,4469.12,4153.82,4166.38,4508.91,4406.86,4151.96
F,5545.82,5428.81,4417.82,4329.02,4429.35,4422.79,4324.65,4418.73,4443.61,4256.97,4216.85,4314.55
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
