,1,2,3,4,5,6,7,8,9,10,11,12
A,7221.93,5633.71,6792.84,6705.15,7068.62,6310.43,6996.08,5603.09,6621.82,5826.94,6512.15,6517.78
B,5775.76,5258.7,5658.35,5596.8,5784.43,5518.25,5428.77,5193.59,5376.74,5488.98,5605.45,5423.37
C,5915.32,5333.07,5684.8,5554.67,5631.91,5492.49,5458.01,5116.1,5618.4,5708.45,5783.03,5522.43
D,5771.76,5567.48,5763.57,5614.67,5830.74,5308.86,5646.55,5509.44,5719.51,5634.69,5625.31,6113.29
E,5707.36,5348.68,5727.63,5838.57,5723.74,5169.17,5494.04,6079.84,4811.26,5154.2,5387.57,5422.83
F,5557.82,5456.18,5300.22,5191.2,5040.82,4804.64,4821.34,5031.05,5514.76,4835.21,4921.88,5042.78
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
