Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_3-40-47 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7467.02,5839.69,7061.44,6974.63,7301.63,6580.71,7181.91,6110.1,6905.39,6012.76,6697.11,6682.59
,B,5994.15,5446.01,5923.62,5824.45,6056.97,5717.18,5584.96,5432.42,5494.52,5654.19,5719.79,5617.92
,C,6135.04,5590.29,5937.38,5800.93,5876.58,5748.58,5711.28,5411.84,5771.85,5860.57,6103.92,5694.66
,D,5958.79,5798.4,5987.33,5843.92,6071.24,5515.69,5872.04,5681.33,5918.02,5886.02,5754.22,6300.69
,E,5950.48,5592.11,5975.77,6139.2,6044.44,5424.9,5803.07,5880.59,5775.55,5380.09,5513.31,5504.78
,F,5740.73,5624.84,5478.54,5332.86,5247.34,4990.42,4990.54,5126.1,5632.39,4956.73,5000.46,5116.88
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1810000,1208510,1719260,1846680,1969270,1633730,1458490,1109570,1269570,872225,1017170,867448
,B,1187400,1082110,1197530,1021180,1229100,1259060,901560,913809,823968,587080,599022,509140
,C,363529,376128,393670,344165,392715,401506,210995,214241,212215,106383,128898,110978
,D,665271,791213,928783,753334,962659,906587,820322,723785,953385,479283,547866,654762
,E,399369,307873,405091,502539,522456,475729,302990,253842,277976,149328,150842,356726
,F,192596,220571,215667,175934,198352,188702,85495.2,101354,106438,64669.6,68809.6,185077
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
