Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_12-39-37 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8110.57,9795.64,7870.34,6509.38,7125.75,7353.57,6793.84,6191.88,5923.93,6219.95,6555.67,5968.43
,B,6254.28,6276.77,5823.54,4813.97,4898.53,5130.18,4683.88,4793.95,5046,5093.07,4832.48,4771.99
,C,6115.52,6556.32,5719.26,4853.19,4878.2,5180.46,4866.05,4857.36,4598.39,4769.15,4783.21,4769.04
,D,6050.43,6711.35,5681.38,4672.99,4698.16,4912.73,4433.83,4471.09,4494.68,4505.06,4580.17,4412.06
,E,6509.41,6590.14,5512.01,4952.7,4832.99,5133.62,4632.34,4203.8,4383.78,4708.05,4590.18,4402.01
,F,6291.6,6140.91,5119.35,4523.76,4511.33,4448.8,4329.51,4420.43,4455.61,4269.61,4227.14,4331.84
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1612370,2047730,1550940,1314530,1637980,1822280,1682690,1503780,1359240,1606280,1446480,1316350
,B,913961,984181,901938,991058,881711,1155940,1000360,1022830,962371,994043,893927,762271
,C,403265,564138,497675,536039,536666,619769,551719,520004,466669,451137,435170,439478
,D,866927,1241510,865740,845483,958291,1045810,821187,923301,896279,787563,760311,674621
,E,392001,549578,401057,456545,452129,509545,433036,371175,378971,444127,421292,434846
,F,398565,396937,329469,330929,331896,312896,279114,274884,226946,196745,200480,192164
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
