,1,2,3,4,5,6,7,8,9,10,11,12
A,1145260,1327360,1246450,1203810,972743,825698,727290,540031,674391,460499,576559,523911
B,2134550,2348310,2197290,1856200,1910280,1735490,1508610,1321660,1405950,1349120,1191320,1246160
C,400627,364722,344424,369474,342640,331865,217393,206503,240435,144600,145753,140874
D,960246,1255900,941595,821953,751126,900234,560222,593874,517106,468002,429883,401072
E,548720,574691,544500,506945,562589,527146,328006,300925,347341,247482,243122,221126
F,194215,169511,173690,159089,160525,156722,96277.4,83978.1,106431,67131.1,78325.6,67440.2
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
