Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_3-40-07 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7761.99,6218.15,7424.24,7314.64,7654.82,6924.75,7555.08,6216.49,7301.27,6337.77,6969.5,6978.46
,B,6296.33,5720.87,6299.11,6065.09,6325.51,5971.41,5870.64,5662.47,5728.5,5863.06,5984.89,5806.24
,C,6468.86,5804.75,6258.4,6140.78,6133.55,6064.46,5898.25,5631.66,6062.63,6091.18,6476.83,5979.58
,D,6243.33,6038.64,6262.07,6161.84,6312.35,5723.75,6149.17,5904.95,6112.23,6054.03,6008.66,6558.47
,E,6251.53,5901.02,6244.36,6490.13,6378.23,5680.72,6067.61,5642.63,6282.16,5736.87,5801.76,5804.15
,F,5877.76,5850.57,5652.99,5530,5479.85,5146.41,5120.84,5239.69,5799.69,5097.23,5131.01,5127.27
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1402770,908661,1366050,1493320,1506210,1332250,1201410,990166,1117090,849710,949324,815452
,B,789188,712719,793941,729941,783369,763260,638299,507663,598718,414405,406969,335291
,C,413326,381189,438500,401184,439266,466978,250760,257733,251103,121702,160194,156258
,D,633255,668953,777953,652856,737730,713645,645855,553793,709287,387732,416149,534260
,E,403014,341014,422370,499880,534983,475368,314751,269830,293735,167559,176983,386696
,F,234823,268171,240960,201957,231126,186457,81430.8,100724,119241,62436.2,65505.1,188328
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
