Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_1-54-26 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5102.28,3934.74,4912.1,5120.36,5269.44,4897.21,5037.52,4565.49,5265.1,4362.37,4946.28,4830.8
,B,4044.05,3789.71,4124.77,4127,4396.05,4159.3,4063.69,4128.58,4003.97,4262.17,4279.71,4296.57
,C,4053.46,3916.06,4080.03,4156.79,4316.08,3995.87,4248.16,4061.86,4336.32,4409.89,4347.92,4298.53
,D,4021.83,3864.26,4167.78,3984.28,4329.72,4085.57,4346.05,4102.48,4467.15,4343.78,4338.41,4901.56
,E,3839.24,3710.97,4173.26,4275.09,4339.42,4155.08,4357.22,3961.54,4037.34,4071.21,4171.5,4233.97
,F,4079.81,3934.24,4011.7,3991.8,3979.83,4049.12,4139.54,4021.39,4457.79,3949.38,3888.21,4498.36
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3813440,2267170,3729440,3471340,3693560,2945250,2221440,1386250,1632280,719183,1006270,682456
,B,3580350,3069950,3977820,3579070,4191770,3766390,2140360,2200860,1950520,1305160,1360390,847787
,C,469474,427645,447853,395887,485650,420569,181750,168060,161365,78507.1,87084.1,84032.6
,D,1222910,1416390,1935570,1634030,2265660,1955210,1509570,1348170,1653120,644328,739647,890314
,E,525177,488412,531253,590957,650169,499049,261911,210479,239666,112368,115360,280698
,F,357496,395572,389714,319304,348096,334391,160213,172955,262292,111095,110856,287497
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
