,1,2,3,4,5,6,7,8,9,10,11,12
A,6207.23,6290,6048.26,5803.46,5280.52,5859.95,5732.16,5709.71,6331.24,15483.2,14693.1,16583.3
B,5493.53,6173.95,4898.9,4942.65,4922.69,4936.65,5216.68,4973.56,5087.55,12837.5,12364.8,11456.1
C,5924.93,5348.34,5207.65,5361.81,5142.24,5166.08,5719.83,5510.24,5802.23,16536.1,23669.5,21227.9
D,5061.78,4657.93,4869.32,4795.54,4623.33,4766.7,4808.08,4845.56,5051.54,11659,12301,13714.6
E,4788.98,4765.51,4476.38,4640.37,4490.96,4441.94,4614.81,4682.08,4952.18,8796.16,9175.6,10749.4
F,4449.97,4238.8,4279.9,4350.57,4332.54,4832.45,4514.46,4790.62,4543.1,5385.35,5420.96,5480.24
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
