Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_1-53-27 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5948.14,6127.87,5890.2,5693.48,5198.13,5802.08,5640.72,5667.78,6034.82,15640.8,14981.7,17100.3
,B,5264.28,5654.4,4722.53,4829.92,4809.91,4870.55,5160.45,4947.95,5061.76,12969.1,12651.7,11737.2
,C,5751.89,5178.18,5046.34,5242.17,4994.11,4948.87,5478.72,5297.96,5569.46,17929.4,24203.9,22270.5
,D,4932.8,4544.34,4744.25,4683.58,4532.18,4724.49,4755.26,4812.74,4985.04,12035.3,12263.4,13514.7
,E,4615.75,4556.57,4368.94,4546.52,4370.9,4363.92,4544.17,4614.09,4859.69,8975.74,9237.9,10819.5
,F,4326.88,4162.62,4203.59,4278.61,4270.53,4705.54,4467.31,4739.17,4495.52,5331.61,5351.93,5401.77
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1847600,1337930,2011040,1986120,1870380,2088610,2269270,2174480,2369310,4002380,3618750,3645140
,B,1788860,1809640,1744090,1670960,1750320,1815020,1767860,1726340,1707820,3485480,3294290,2859520
,C,544037,594678,637614,584886,595401,670452,670665,720570,675495,1814190,2250190,2057220
,D,804392,939685,1109670,1140810,1097010,1171640,1043210,1094040,1145280,1883190,2202410,2137520
,E,374730,425277,418005,440027,452080,411962,465260,436171,454660,1313170,1274340,1282670
,F,178129,189945,184079,181042,181294,194612,158342,127886,141595,315339,331483,320309
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
