Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_5-58-42 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6191.17,7721.95,5944.99,4972.12,5409.24,5625.41,5316.46,5017.99,4733,5125.1,5126.9,4555.41
,B,4633.21,4900.4,4649.75,4482.21,4543.97,4751.91,4372.42,4509.5,4381.98,4335.52,4258.17,4227.83
,C,4530.77,5440.41,4551.54,4360.17,4479.04,4760.34,4491.73,4506.31,4282.58,4418.37,4263.01,4175.26
,D,4545.18,5278.25,4498.81,4258.74,4411.16,4616.72,4148.49,4275.55,4250.37,4209.86,4088.59,4064.93
,E,5361.06,5120.03,4478.08,4477.81,4343.99,4690.09,4206.45,3935.67,4031.32,4314.43,4086.52,3942.29
,F,5412.96,5317.24,4340.3,4245.93,4350.01,4346.13,4253.15,4340.73,4366.1,4170.68,4121.56,4211.55
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3507410,3798170,2816570,2318100,2802790,3350690,2862520,2367780,2336920,2107270,2156920,1882170
,B,2852450,3389560,3100910,3049660,2758480,3681420,3891160,3381610,2833160,2820640,2635050,2337690
,C,355793,542140,411959,446085,501208,554892,483156,483020,432431,398567,405635,397707
,D,1455490,2179580,1267000,1123540,1310550,1542170,1176730,1283840,1286870,1109380,1057540,908955
,E,348759,569056,428893,497939,545629,647293,473969,403981,439071,460845,451182,454762
,F,346242,371363,371841,407418,405900,392748,353415,348911,289857,255040,254257,250720
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
