,1,2,3,4,5,6,7,8,9,10,11,12
A,3429590,2181770,3094940,3157110,3315360,2673250,2108100,1370610,1579170,749326,1036580,716983
B,3156140,2731540,3386570,3043800,3635050,3242010,1996610,2027560,1803490,1303100,1296770,804556
C,435691,405706,419736,371762,443320,399083,180805,168156,166977,77913.4,89807.5,82818.3
D,1118870,1475000,1956950,1489180,2027370,1761770,1499310,1255780,1631460,652617,718688,841165
E,498067,465769,519781,562016,641235,500018,268968,220514,247301,116367,113642,284864
F,304917,332778,333994,268637,294608,280220,126174,146526,213583,95277.7,95843.2,248519
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
