,1,2,3,4,5,6,7,8,9,10,11,12
A,4373350,4830820,3578820,2764400,3462500,4027160,3354570,2854830,2663550,2448370,2557740,2326360
B,4125520,4468410,3926150,4019590,3885450,5108130,4240120,4514210,3661290,3645280,3467050,3138330
C,354054,603162,440024,477192,527640,621498,522271,544419,492185,435374,458400,440668
D,1680390,2549150,1404750,1294340,1533240,1848490,1376980,1434150,1560400,1409970,1205580,1064900
E,359307,653904,487332,547921,618645,827125,514842,435444,512621,513280,476915,461058
F,456892,480303,476023,559236,551433,518024,478657,475040,395902,367747,345519,361744
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
