Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_5-39-59 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7138.24,5608.55,6734.58,6631.76,6975.47,6313.6,6931.39,5619.15,6565.73,5805.57,6457.73,6296.61
,B,5725.14,5212.89,5655.31,5563.38,5764.69,5490.84,5345.55,5180.6,5312.66,5477.97,5547.94,5432.13
,C,5886.94,5303.18,5618.63,5517.55,5613.24,5492.61,5377.39,5097.96,5609.57,5667.46,5701.76,5529.95
,D,5726.58,5521.47,5713.7,5533.89,5804.89,5293.25,5632.5,5497.23,5710.57,5590.81,5618.45,6123.62
,E,5692.91,5279.4,5678.89,5793.66,5751.08,5180.27,5473.04,5827.22,4524.41,5185.16,5370.29,5272.03
,F,5532.49,5430.1,5270.06,5180.12,5034.76,4827.5,4821.23,5032.43,5505.44,4892.47,4902.15,5080.74
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2846770,2130530,2667420,2381020,2604600,2128660,1853410,1292810,1452570,891287,1053350,845649
,B,2771280,2279490,2661770,2179530,2366600,2280700,1483660,1493780,1390470,900824,959615,727920
,C,679072,579781,621441,533138,534947,570326,253610,255436,239056,116883,144116,121452
,D,1195920,1292920,1755500,1555840,1672310,1585550,1240780,1095940,1336560,657475,690656,819923
,E,692052,554335,635954,660602,674329,596150,342610,325795,347917,153165,155405,359448
,F,462417,521909,480584,356164,385957,323753,147038,171595,218568,106543,96577.4,202265
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
