,1,2,3,4,5,6,7,8,9,10,11,12
A,5964.11,5705.39,5733.99,5637.23,5141.57,5688.63,5536.05,5556.71,5895.81,14963.4,14484.9,16112.1
B,5238.55,5338.49,4674.75,4757.83,4729.82,4782.78,5052.52,4841.08,4950.91,12424.2,12012.8,11181.7
C,5675.66,5164.05,5010.06,5161.75,4912.34,4865.28,5297.37,5154.99,5384.28,17294.9,23932.1,21560.5
D,4876.54,4541.94,4686,4665.64,4463.37,4672.97,4705.84,4740.12,4939.81,11722,12262.8,13594.5
E,4559.2,4547.9,4341.32,4519.82,4334.56,4270.98,4490.61,4559.84,4808.39,8844.89,9243.93,10912.9
F,4286.73,4152.38,4193.77,4257.46,4250.95,4682.08,4428.04,4697.08,4449.13,5256.93,5286.19,5337.05
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
