Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_6-48-56 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7479.81,5814.19,7058.76,6964.03,7343.79,6570.34,7202,5869.2,6900.16,5946.18,6612.02,6695.27
,B,5918.48,5406.02,5915.4,5802.24,5979.78,5704.43,5587.96,5371.61,5465.93,5538.5,5623.41,5548.66
,C,6212.1,5566.4,5893.13,5788.41,5876.83,5810.1,5687.77,5403.86,5711.52,5805.06,5793.44,5647.63
,D,5955.58,5752.63,5948.01,5880.2,6056.99,5499.5,5846.8,5676.95,5872.13,5756.74,5689.48,6285.95
,E,6025.07,5576.4,5952,6128.56,6042.55,5415.02,5780.71,5682,6095.53,5366.36,5476.48,5219.73
,F,5730.94,5652.19,5457.55,5320.13,5273.88,4945.73,4962.79,5110.04,5682.27,4925.04,4985.65,5116.37
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1751780,1121460,1649730,1794190,1946730,1572440,1461650,1106780,1202180,904709,1032630,849937
,B,1076700,1050020,1124380,1090540,1291240,1229140,870848,862342,773972,565874,549963,438970
,C,398246,354462,397747,352912,402683,436037,216878,220630,224698,105275,129916,112177
,D,665639,780784,975742,800160,890373,929137,838127,730148,924621,467421,518580,629310
,E,429842,303328,417610,485176,525221,469273,305540,257314,288964,151058,156246,363493
,F,190217,253855,214632,171496,227082,182456,83671.6,97869.1,103145,59744.5,61354.4,185466
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
