,1,2,3,4,5,6,7,8,9,10,11,12
A,1100110,1228910,1184620,1137260,915436,803954,690546,549538,584355,443234,545412,507488
B,1724650,1799570,1684420,1527520,1584050,1431410,1249830,1105930,1178330,1076560,989504,1018760
C,399295,379029,361287,380677,364254,355559,220169,209336,244036,152019,150427,144227
D,961643,1068170,867750,830852,783693,873899,565879,590426,496555,489014,450744,460056
E,556855,535778,523026,469260,557431,484975,327229,299275,318013,245007,229676,238998
F,208350,192972,202753,184999,180585,187665,107882,98059,125856,77008.3,83651.4,77016.3
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
