,1,2,3,4,5,6,7,8,9,10,11,12
A,1518920,1708630,1561540,1582800,1203190,1003720,943256,641007,853921,535461,669691,601998
B,4137910,4815100,3879420,3369750,3541200,3214750,2999220,2489510,2386300,2450100,2110620,2017930
C,494552,452635,436355,463399,367866,403361,269283,239668,304878,177589,154678,155692
D,1169510,1361360,1124830,976340,867656,1134950,684100,644200,544229,448519,435672,380501
E,694700,765699,698070,559733,727646,618879,411245,353846,386048,303087,301289,284790
F,201241,151172,152744,134402,141536,127736,83034.2,71077.7,85302.5,59882.3,70556,60519.2
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
