Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_3-53-35 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5977.3,6162.83,5806.41,5635.47,5139.03,5650.33,5544.63,5656.53,6024.46,15474.5,14952.8,16890.8
,B,5262.65,5811.78,4723.6,4803.29,4782.59,4819.96,5098.35,4905.78,5019.29,12772.2,12376.5,11500.2
,C,5749.79,5185.98,5060.91,5238.49,4979.85,4923.51,5448.83,5288.87,5542.67,17440.9,24163.3,21837.7
,D,4933.85,4528.53,4736.3,4694,4508.38,4695.24,4733.4,4766.7,4970.71,11891.7,12383.5,13685.9
,E,4621.54,4561.48,4367.72,4539.96,4366.95,4324.92,4523.97,4609.14,4845.7,8904.08,9245.02,11019
,F,4338.97,4160.02,4208.21,4283.91,4271.46,4698.9,4456.66,4728.09,4478.18,5300.8,5320.71,5382.3
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1813640,1194820,1959260,1997160,1841030,2005340,2254690,2136130,2392580,3983820,3638320,3662120
,B,1756730,1646010,1612640,1617750,1664150,1788540,1723680,1658760,1617840,3309140,3174800,2790340
,C,549435,606620,667994,614002,607453,688109,706330,737688,697556,1850990,2348130,2129030
,D,922259,948843,1137530,1111720,1092820,1166650,1057040,1105080,1135940,1976110,2195380,2120570
,E,378396,431139,417819,448048,459011,412450,472726,451417,462492,1323330,1281260,1275310
,F,183380,190878,189952,184793,184913,202355,160816,134648,145863,314264,328847,316437
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
