Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_4-24-16 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5993.12,6174.49,5794.93,5616.04,5128.31,5627.26,5486.62,5562.76,5961.88,15338.4,14836.3,16616
,B,5269.14,5833.92,4709.76,4790.08,4754.85,4782.43,5039.85,4842.66,4955.22,12541.9,12144.2,11312.1
,C,5756.6,5172.42,5053.54,5228.41,4950.37,4894.25,5423.14,5242.62,5499.54,17099.6,23919.3,21544.3
,D,4926.93,4543.18,4708.75,4659.47,4484.71,4670.09,4709.04,4732.75,4941.83,11741.7,12403.2,13647.4
,E,4619.76,4564.8,4351.54,4511.87,4343.65,4295.63,4495.09,4579.67,4819.29,8823.76,9230.19,10976.2
,F,4335.53,4160.16,4195.28,4262.65,4250.52,4680.54,4430.4,4697.9,4457.29,5291.29,5309.19,5359.28
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1774620,1198500,1984950,1972230,1803010,2063750,2303730,2216420,2355560,4062390,3698820,3772320
,B,1717340,1695570,1671760,1639130,1670660,1707830,1701240,1630140,1611010,3300120,3255960,2778690
,C,550019,613566,658211,600716,613832,688533,699188,836536,710310,1798320,2302460,2136550
,D,796725,950571,1135320,1123260,1107450,1203920,1070150,1113080,1236530,1975440,2075930,2111580
,E,394290,426876,418986,447095,464525,413662,475811,440253,459767,1315170,1251390,1275700
,F,183079,196157,191876,187419,187383,202138,162519,135926,150712,311482,327784,318226
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
