Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_11-11-02 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7313.15,5767.84,6929.08,6838.45,7171.17,6415.24,7181.44,5707.67,6730.89,5990.93,6569.01,6718.95
,B,5886.82,5325.36,5788.71,5671.54,5859.85,5575.27,5517.48,5243.74,5427.97,5519.43,5627.04,5480.94
,C,6064.23,5424.66,5780.61,5653.65,5704.35,5614.7,5546.09,5172.26,5636.04,5745.05,5974.67,5568.98
,D,5879.64,5642.26,5845.03,5727.07,5909.15,5390.82,5741.81,5585.23,5776.44,5754.94,5648.92,6183.45
,E,5888.89,5479.59,5827.88,5965.95,5847.19,5221.4,5579.67,6083.26,5312.77,5249.3,5423.73,5244.14
,F,5645.6,5584.74,5380.93,5257.44,5135.59,4821.32,4851.35,5069.75,5571.63,4865.52,4954.2,5053.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2144090,1528620,1985790,1974890,2205900,1863620,1609260,1153090,1312030,913191,1105020,836247
,B,1499980,1360450,1583760,1397780,1593660,1548860,1067220,1063500,988750,711341,741673,552269
,C,531983,362309,433786,396037,395244,436622,209969,210310,214770,104720,127322,110712
,D,843459,924852,1147500,1029880,1097850,1041480,982102,847088,1038560,508084,568382,667130
,E,570010,395683,437580,525934,543576,474264,298450,249301,275837,143764,147063,363928
,F,223197,396189,242041,204494,237298,192650,87916.4,108407,140836,71790.9,73231.5,182649
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
