,1,2,3,4,5,6,7,8,9,10,11,12
A,5383.47,5293.16,5161.17,5489.69,4830.54,4326.03,4702.37,4553.22,4661.63,4468.61,4716.76,4543.47
B,5227.64,5096.45,4772.2,4830.28,4757.41,4810.54,4687.68,4464.73,4618.58,4737.13,4487.63,4467.51
C,4859.27,4577.81,4442.81,4883.36,4391.37,4409.5,4455.14,4187.45,4281.29,4428.74,4216.2,4153.34
D,4579.76,4448.42,4379.65,4262.94,4127.37,4352.42,4181.99,4264.95,4073,4128.22,4201.22,4053.88
E,5024.62,4438.17,4688.3,4592,4588.11,4393.89,4403.68,4259.4,4595.14,4378.13,4357.43,4215.63
F,4376.8,4121.68,4034.7,4040.53,4140.01,4415.8,4070.84,4095.26,4354.08,4012.39,4095.94,4152.44
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
