Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto48.0h_RealTime-Glo_4-18-2019_4-07-44 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6268.81,6100.46,5428.26,6008.3,4980.88,4407.58,4750.19,4616.64,4788.1,4586.79,4956.65,5452.98
,B,5810.92,5428.51,4959.78,5028.2,4852.18,4945.63,4765.78,4563.48,4784.97,4763.42,4545.74,4626.87
,C,5474.33,4832.16,4631.94,4946.15,4481.88,4450.03,4460.98,4260.84,4438.08,4520.15,4322.65,4250.14
,D,4987.07,4730.97,4550.54,4349.4,4205.45,4440.42,4334.28,4378.63,4174.06,4258.74,4321.86,4218.86
,E,5549.17,4846.16,4844.93,4689.06,4703.05,4422.12,4499.07,4336.77,4677.85,4505.38,4469.21,4303.54
,F,4882.27,4352.96,4211.27,4110.98,4207.6,4476,4157.54,4159.16,4447.55,4078.27,4198.44,4226.8
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1109960,1231480,1099650,1074040,911214,811136,705741,547751,648297,473504,525294,491682
,B,1328900,1242580,1228770,1149390,1168880,1031000,846735,825878,893311,755815,750601,768193
,C,480497,403074,401554,400347,377351,352045,238237,225854,261347,167267,168797,161855
,D,977763,1042030,938762,825188,776167,886383,683985,690389,626079,619943,592496,594716
,E,543868,549521,534788,467526,537119,490272,318907,297151,319785,248900,229241,229136
,F,285481,255333,262480,221939,220643,221298,136754,119904,156107,90568.4,98288.2,90954
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
