Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_6-46-54 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8456.92,10215.9,8166.62,6587.78,7244.03,7459.1,6894.97,6310.95,6092.27,6263.09,6592.64,6027.6
,B,6537.73,6563.05,6159.86,4955.4,5037.25,5283.43,4825.82,4954.12,5108.86,5219.19,4956.64,4899.95
,C,6397.6,6899.3,6026.75,4981.84,5032.77,5320.07,5001.73,5005.23,4780.3,4892.67,4911.28,4917.5
,D,6353.52,7028.54,5984.44,4876.18,4827.21,5061.96,4551.03,4596.37,4666.48,4659.69,4683.72,4496.82
,E,6704.6,6920.63,5822.18,5129.78,4941.53,5306.79,4757.25,4303.94,4532.49,4846.9,4708.99,4529.81
,F,6400.7,6290.61,5372.2,4653.9,4635.26,4554.74,4428.44,4522.12,4551.94,4368.18,4312.15,4403.85
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1389160,2049070,1423600,1255240,1540700,1680610,1576540,1379360,1272150,1394300,1395850,1233330
,B,796476,850013,791243,879415,740536,977654,882140,875480,871126,815852,844064,691478
,C,439769,586391,558417,540854,549446,625391,534370,544220,484276,443717,452470,459601
,D,809171,1122370,873034,816175,915600,974736,780093,881129,835234,730892,722746,662711
,E,409329,576696,479249,476314,465845,520135,456516,378291,395321,440909,408484,421829
,F,421025,471914,473527,341923,355386,301199,277993,268991,223474,190846,193032,193857
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
