Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_1-19-59 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6154.21,6256.14,5926.76,5736.13,5216.8,5771.1,5661.07,5645.7,6215.8,15414.8,14834.3,16560.2
,B,5411.39,6057.78,4899.66,4882.16,4850.28,4855.24,5155.98,4914.94,5029.38,12662,12266.6,11425.8
,C,5857.27,5303.02,5118.17,5294.15,5052.41,4988.07,5591.32,5410.8,5682.61,16552,23628.9,21144
,D,5008.15,4597.15,4793.13,4714.53,4557.11,4698.85,4761.49,4778.25,4992.55,11568.3,12249.3,13589.3
,E,4720.4,4680.38,4383.79,4557.74,4411.26,4362.7,4532.09,4626.29,4870.13,8718.58,9305.76,10551.7
,F,4397.22,4192.43,4224.6,4289.6,4275.19,4729.51,4450.36,4720.58,4482.49,5314.06,5345.7,5419.88
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1530610,1149970,1733130,1798250,1665490,1837980,2121280,2013410,2147560,3578660,3132340,3233940
,B,1301000,1192360,1215610,1111570,1193760,1223420,1308150,1178950,1154310,2653920,2606060,2163470
,C,619428,654579,706104,652232,671658,741775,759116,806546,769018,1597490,2000800,1746200
,D,795131,920428,1036970,1024940,1007190,1082490,990016,1046040,1073360,1627490,1768670,1751750
,E,416807,443011,429417,463437,462735,415953,469636,461347,464568,1076250,1057520,1016030
,F,216122,215623,214289,209319,210254,232432,187839,154011,171453,262476,277135,262770
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
