Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_1-37-57 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5016.4,4705.41,4973.73,5111.89,4674.58,5180.1,5335.47,5445.4,5684.8,9949.68,9905.63,10609
,B,4612.68,4541.18,4185.18,4320.75,4321.34,4344.67,5216.13,5058.79,5221.29,10814.2,10529.6,9726.3
,C,4685.13,4670.13,4497.22,4648.86,4451.25,4359.4,4893.95,4738.13,4901.23,13207.5,16090.9,15897.1
,D,4110.64,4178.27,4320.33,4230.4,4132.34,4310.45,4755.12,4713.54,4851.59,8755.47,8369.94,8800.14
,E,4139.82,4118.6,4007.61,4155.32,3988.24,3935.15,4300.63,4389.13,4650.46,7342.02,7372.45,7678.61
,F,4083.89,3952.5,3965.54,4040.1,4019.93,4339.17,4373.69,4559.72,4365.79,5083.25,5202.2,5196.82
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3377700,1729630,3328180,3447580,3034850,3464670,2788720,2669580,2883270,5296250,5326340,5153300
,B,5182130,4746400,3925260,4109480,4676210,4543590,3789700,3458300,3337720,9274630,9216500,8065130
,C,665898,685282,666239,604770,652302,850804,252378,431980,343095,2621230,2404750,2562290
,D,1030730,1288000,1500380,1604840,1509790,1507610,971355,1083800,1257530,3024180,2804130,2873380
,E,450432,531319,520194,525444,570288,504180,213407,173040,218435,1853800,1744620,1605180
,F,118439,126595,124694,116694,120092,149417,9211.32,1737.15,16486.9,394564,339572,353043
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
