Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_1-38-05 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7715.49,6157.16,7398.56,7293.28,7570.62,6847.6,7505.17,6181.04,7295.3,6180.66,6897.69,6875.26
,B,6273.53,5702.9,6249.33,6029.03,6257.38,5918.49,5833.83,5594.59,5686.95,5814.08,5940.91,5772.13
,C,6449.57,5775.95,6237.2,6120.36,6087.51,6029.42,5875.55,5570.95,6000.19,6040,6100.8,5921.66
,D,6265.23,6031.33,6250.76,6128.88,6302.73,5694.3,6117.16,5863.38,6083.1,6107.72,5956.74,6498.75
,E,6241.03,5891.72,6229.39,6463.61,6325.39,5634.12,5994.29,5574.76,6234.92,5597.59,5698.35,5341.44
,F,5887.73,5839.58,5644.69,5518.4,5448.63,5090.48,5078.11,5240.3,5798.67,5086.08,5121.1,5132.34
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1407330,1042020,1366110,1554880,1640050,1402630,1237630,1078710,1054180,790671,856484,767993
,B,942723,726416,917730,783496,879185,844585,617265,633676,564815,389970,378116,365081
,C,460444,380649,438656,449078,446372,467447,244103,252235,244484,121875,157706,131769
,D,679902,711752,826433,736509,814324,781710,711810,628210,754438,416512,453257,556584
,E,453526,373595,437204,523946,547745,472003,311458,265564,299491,164265,172477,382096
,F,220935,328004,252397,212096,252532,188356,87272.7,103844,137300,65643,69294,184095
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
