Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto45.5h_RealTime-Glo_4-18-2019_1-37-09 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5901.01,5905.56,5421.98,5862.25,5043.73,4432.79,4791.99,4652.55,4822.14,4626.46,5081.23,4562.29
,B,5768.64,5455.32,4970.49,5047.77,4900,4983.59,4806.9,4594.66,4844.2,4814.63,4606.05,4631.25
,C,5453.72,4840.06,4643.5,4997.21,4512.76,4480.52,4486.89,4296.07,4409.87,4585.51,4360.84,4293.81
,D,4991.35,4775.3,4570.58,4385.53,4221.36,4466.9,4366.85,4422.85,4209.65,4287.07,4376.85,4266.68
,E,5591.41,4811.44,4870.86,4727.73,4736.77,4524.51,4495.55,4372.2,4730.17,4543.4,4560.94,4363.43
,F,4910.78,4407.11,4236.62,4147.07,4249.9,4532.8,4198.08,4204.93,4521.65,4139.68,4247.6,4286.83
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,997471,1218170,1103780,1026640,900025,801160,721243,545063,646868,458543,604388,564731
,B,1353480,1230600,1212830,1168220,1204820,1049130,952238,820204,919674,767578,805508,798155
,C,460608,395921,384115,394898,388979,351494,236100,224666,259934,166150,168306,160067
,D,969581,1038960,944796,836185,779385,872615,636044,659954,597317,580586,551271,552054
,E,519379,532066,551444,473213,545671,487656,321833,297139,315495,251151,233221,226993
,F,261629,229470,244749,219546,212853,223153,130702,117834,155855,89603.6,96431.9,96008.8
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
