Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_3-35-06 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5111.36,4787.45,5060.98,5195.99,4725.09,5188.36,5257.74,5324.41,5558.29,11521.8,11382.9,12368
,B,4697.41,4624.9,4250.94,4392.02,4391.68,4384.13,5083.37,4893.74,5050.51,11415.2,10916.5,10102.4
,C,4775.97,4720.79,4568.79,4722.97,4517.63,4418.57,4910.19,4751.94,4921.03,15173.7,19703.3,18394.4
,D,4176.26,4223.32,4367.97,4299.96,4188.57,4384.21,4697.22,4668.59,4808.78,10305.5,10202.1,10784.9
,E,4198.7,4181.4,4062.64,4214.79,4040.42,3988.5,4309.77,4396.53,4639.23,7979.13,7933.36,8356.01
,F,4113.59,3982.49,4006.16,4078.26,4062.41,4473.43,4387.9,4658.14,4371.44,5017.79,5110.16,5109.46
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3122190,1635330,3098580,3209870,2838410,3252770,2968720,2871660,3072060,5081110,5092350,5083690
,B,4644520,4204030,3476200,3609620,3855310,3939150,3712540,3383350,3375580,8364300,8164730,7233010
,C,612346,621368,648196,629941,610650,702202,422728,575355,497538,2712070,2861350,2869780
,D,948362,1165200,1474460,1591040,1429830,1470560,1124010,1256790,1351270,3014700,2861960,2954910
,E,423099,505781,479800,503346,560612,485554,358549,324031,367967,2081980,2043580,1869060
,F,126972,133065,131664,125710,127053,150407,39971.3,9346.45,48784.1,444887,417143,417878
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
