,1,2,3,4,5,6,7,8,9,10,11,12
A,7447.43,5838.93,7053.98,6961.45,7329.86,6575.17,7182.36,5892.07,6949.52,6300.82,6654.39,6675.62
B,5977.62,5427.14,5906.65,5811.14,6042.05,5714.7,5577.17,5430.98,5486.91,5636.07,5727.27,5573.72
C,6086.77,5552.15,5911.8,5787.34,5846.5,5699.81,5685.25,5404.33,5760.05,5847.77,5844.28,5722.67
D,5963.57,5770.97,5958.68,5793.56,6050.29,5501.31,5859.45,5660.26,5884.16,5924.92,5739.53,6282.22
E,5910.81,5567.03,5948.26,6096.98,6004.89,5391.11,5775.06,6068.6,5557.97,5470.15,5504.04,5433.95
F,5730.87,5609,5465.97,5322.17,5215.23,4969.48,4977.61,5114.83,5616.39,4952.31,4984.81,5104.74
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
