Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto41.5h_RealTime-Glo_4-18-2019_9-41-54 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5716.6,5487.91,5156.07,7144.01,4779.68,4260.3,4642.86,4478.73,4570.86,4347.34,4633.38,4445.76
,B,5575.76,5189.6,4758.59,4805,4651.1,4711.94,4580.97,4370.44,4574.83,4588.18,4341.96,4364.7
,C,5056.03,4633.98,4397.25,4745.53,4311.4,4324.91,4305.63,4110.83,4208.59,4266.94,4076.14,4027.47
,D,4668.95,4480.27,4211.27,4019.05,3901.14,4133.75,3962.49,4120.3,3895.99,3875.69,4069.07,3949.78
,E,5282.85,4416.44,4463.49,4318.3,4334.49,4161.8,4236.82,4098.2,4407.73,4220.95,4242.9,4119.41
,F,4649.51,4216.33,3998.45,3939.05,4019.49,4295.57,3983.13,3994.02,4251.63,3909.36,4011.14,4052.38
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1176040,1374030,1166260,1165940,982015,804436,694446,533636,637094,448927,547095,496002
,B,1586520,1469140,1440600,1265400,1299090,1160180,1034790,959659,1090390,875684,831020,813878
,C,460351,386512,375299,385868,364611,334100,235763,221961,244603,158214,160185,152902
,D,1027420,1077840,964654,845067,759189,807220,612406,628595,530972,522429,524889,495909
,E,536933,529216,541643,462734,532802,470882,310701,293956,317581,246211,234645,217113
,F,270370,234657,241909,204850,200635,206614,121170,108617,141104,83099.7,90312.1,84908.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
