Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_8-38-55 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8180.42,6504.19,7799.52,7717.47,8001.11,7291.62,7831.27,6604.12,7534.89,6636.66,7382.45,7426.08
,B,6551.45,5993.66,6577.99,6346.64,6626.34,6287.23,6222.92,6029.69,6081.98,6230.06,6355.33,6223.01
,C,6671.41,6084.66,6507.71,6412.28,6400.72,6316.8,6209.83,5926.25,6316.71,6388.44,6484.3,6305.07
,D,6466.62,6276.21,6463.84,6342.53,6513.42,5940.62,6358.71,6093.83,6298.1,6268.78,6247.35,6841.47
,E,6487.98,6118.41,6431.55,6715.5,6567.67,5858.19,6225.15,6580.86,6870.88,5858.55,5949.9,5588.72
,F,6093.87,6007.11,5832.91,5700.89,5643.81,5335.68,5214.61,5376.15,5884.63,5251.46,5269.83,5136.34
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1463000,984660,1411580,1600080,1607260,1406690,1108060,1029870,1056070,758589,821758,711320
,B,855811,874073,801696,942218,1024960,943637,671844,657887,581684,389918,397755,338270
,C,476359,668197,630604,547878,650209,581980,332067,328658,304574,146632,186991,164787
,D,770206,965522,1007530,671215,946758,947508,695570,632108,687726,350135,378595,470597
,E,442308,493049,613127,618230,655152,650711,375341,335998,360933,206866,195399,460064
,F,429677,385660,471823,384703,381952,386216,142821,184156,189133,102833,98076.1,196470
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
